vertex=1	father=8981	depth=8386
vertex=2	father=3889	depth=2615
vertex=3	father=9169	depth=5385
vertex=4	father=5278	depth=4338
vertex=5	father=7362	depth=3582
vertex=6	father=7694	depth=8422
vertex=7	father=7928	depth=3118
vertex=8	father=5194	depth=6291
vertex=9	father=169	depth=7979
vertex=10	father=7663	depth=3572
vertex=11	father=7361	depth=4570
vertex=12	father=2916	depth=5735
vertex=13	father=8106	depth=5641
vertex=14	father=2806	depth=5689
vertex=15	father=8046	depth=2014
vertex=16	father=3927	depth=7010
vertex=17	father=1116	depth=560
vertex=18	father=9977	depth=5397
vertex=19	father=7189	depth=2798
vertex=20	father=9071	depth=2086
vertex=21	father=6080	depth=6563
vertex=22	father=8531	depth=8000
vertex=23	father=7150	depth=5618
vertex=24	father=934	depth=5533
vertex=25	father=2328	depth=3689
vertex=26	father=7416	depth=8122
vertex=27	father=2030	depth=7713
vertex=28	father=4765	depth=2392
vertex=29	father=6201	depth=9273
vertex=30	father=8979	depth=5556
vertex=31	father=635	depth=9051
vertex=32	father=2010	depth=468
vertex=33	father=622	depth=376
vertex=34	father=2334	depth=7312
vertex=35	father=9667	depth=2829
vertex=36	father=8944	depth=8819
vertex=37	father=4798	depth=9270
vertex=38	father=1180	depth=4986
vertex=39	father=5111	depth=824
vertex=40	father=6906	depth=873
vertex=41	father=3399	depth=5710
vertex=42	father=1381	depth=1979
vertex=43	father=5447	depth=2803
vertex=44	father=520	depth=6191
vertex=45	father=1852	depth=4739
vertex=46	father=5555	depth=8233
vertex=47	father=3826	depth=5919
vertex=48	father=2296	depth=8781
vertex=49	father=9363	depth=5280
vertex=50	father=7241	depth=8957
vertex=51	father=5053	depth=1844
vertex=52	father=7921	depth=1226
vertex=53	father=9579	depth=6233
vertex=54	father=4595	depth=4184
vertex=55	father=9638	depth=7276
vertex=56	father=5481	depth=6122
vertex=57	father=455	depth=8406
vertex=58	father=8176	depth=4910
vertex=59	father=5773	depth=6109
vertex=60	father=9632	depth=9208
vertex=61	father=5702	depth=1616
vertex=62	father=5706	depth=1386
vertex=63	father=9074	depth=3556
vertex=64	father=6915	depth=5512
vertex=65	father=9724	depth=8157
vertex=66	father=1075	depth=9185
vertex=67	father=7389	depth=2371
vertex=68	father=7379	depth=8130
vertex=69	father=9170	depth=5307
vertex=70	father=8341	depth=3321
vertex=71	father=7503	depth=663
vertex=72	father=306	depth=743
vertex=73	father=2361	depth=9098
vertex=74	father=5438	depth=2712
vertex=75	father=4651	depth=8258
vertex=76	father=3867	depth=1688
vertex=77	father=273	depth=4023
vertex=78	father=8104	depth=8420
vertex=79	father=1341	depth=4979
vertex=80	father=4194	depth=7279
vertex=81	father=5219	depth=9223
vertex=82	father=6580	depth=4694
vertex=83	father=1573	depth=5491
vertex=84	father=3864	depth=4889
vertex=85	father=7187	depth=7435
vertex=86	father=6912	depth=7750
vertex=87	father=613	depth=9206
vertex=88	father=1266	depth=665
vertex=89	father=3910	depth=5476
vertex=90	father=8572	depth=514
