vertex=1	father=0	depth=0
vertex=2	father=6297	depth=4
vertex=3	father=3361	depth=4
vertex=4	father=1548	depth=3
vertex=5	father=3218	depth=4
vertex=6	father=2782	depth=3
vertex=7	father=1085	depth=3
vertex=8	father=96	depth=3
vertex=9	father=169	depth=3
vertex=10	father=2042	depth=3
vertex=11	father=3224	depth=3
vertex=12	father=7677	depth=3
vertex=13	father=2757	depth=4
vertex=14	father=3099	depth=3
vertex=15	father=7410	depth=4
vertex=16	father=2831	depth=4
vertex=17	father=2694	depth=4
vertex=18	father=7027	depth=3
vertex=19	father=9029	depth=4
vertex=20	father=9543	depth=3
vertex=21	father=3218	depth=4
vertex=22	father=3868	depth=4
vertex=23	father=9301	depth=3
vertex=24	father=6464	depth=3
vertex=25	father=1890	depth=4
vertex=26	father=176	depth=4
vertex=27	father=7982	depth=3
vertex=28	father=6464	depth=3
vertex=29	father=5556	depth=3
vertex=30	father=7311	depth=4
vertex=31	father=1018	depth=4
vertex=32	father=9730	depth=4
vertex=33	father=2297	depth=4
vertex=34	father=1777	depth=3
vertex=35	father=9519	depth=3
vertex=36	father=2782	depth=3
vertex=37	father=1733	depth=4
vertex=38	father=2276	depth=3
vertex=39	father=3486	depth=3
vertex=40	father=2582	depth=3
vertex=41	father=1603	depth=3
vertex=42	father=8996	depth=4
vertex=43	father=9543	depth=3
vertex=44	father=1063	depth=2
vertex=45	father=1299	depth=2
vertex=46	father=3693	depth=3
vertex=47	father=2853	depth=3
vertex=48	father=6435	depth=3
vertex=49	father=8891	depth=3
vertex=50	father=4607	depth=3
vertex=51	father=5942	depth=3
vertex=52	father=5121	depth=3
vertex=53	father=5856	depth=3
vertex=54	father=8889	depth=4
vertex=55	father=3752	depth=3
vertex=56	father=1284	depth=3
vertex=57	father=617	depth=4
vertex=58	father=4288	depth=4
vertex=59	father=6539	depth=3
vertex=60	father=5540	depth=4
vertex=61	father=2352	depth=3
vertex=62	father=9016	depth=4
vertex=63	father=8336	depth=3
vertex=64	father=7561	depth=3
vertex=65	father=9631	depth=3
vertex=66	father=1731	depth=3
vertex=67	father=7678	depth=4
vertex=68	father=7379	depth=3
vertex=69	father=9170	depth=3
vertex=70	father=3600	depth=3
vertex=71	father=2739	depth=4
vertex=72	father=4326	depth=3
vertex=73	father=2361	depth=4
vertex=74	father=9587	depth=3
vertex=75	father=6184	depth=4
vertex=76	father=4186	depth=3
vertex=77	father=8946	depth=4
vertex=78	father=9901	depth=3
vertex=79	father=9134	depth=4
vertex=80	father=8834	depth=3
vertex=81	father=4916	depth=3
vertex=82	father=2678	depth=3
vertex=83	father=9023	depth=3
vertex=84	father=1321	depth=3
vertex=85	father=8463	depth=3
vertex=86	father=1171	depth=4
vertex=87	father=3360	depth=3
vertex=88	father=6861	depth=3
vertex=89	father=9981	depth=3
vertex=90	father=4605	depth=4
vertex=91	father=3600	depth=3
vertex=92	father=7831	depth=3
vertex=93	father=7660	depth=3
vertex=94	father=8404	depth=4
vertex=95	father=1085	depth=3
vertex=96	father=7595	depth=2
vertex=97	father=4966	depth=4
vertex=98	father=9284	depth=3
vertex=99	father=1325	depth=3
vertex=100	father=6948	depth=3
vertex=101	father=1736	depth=4
vertex=102	father=6435	depth=3
vertex=103	father=4405	depth=3
vertex=104	father=2687	depth=3
vertex=105	father=5815	depth=3
vertex=106	father=7769	depth=3
vertex=107	father=8578	depth=3
vertex=108	father=4002	depth=3
vertex=109	father=8037	depth=4
vertex=110	father=4649	depth=4
vertex=111	father=7111	depth=3
vertex=112	father=344	depth=4
vertex=113	father=827	depth=3
vertex=114	father=7111	depth=3
vertex=115	father=2522	depth=3
vertex=116	father=6479	depth=4
vertex=117	father=644	depth=3
vertex=118	father=1368	depth=4
vertex=119	father=8334	depth=4
vertex=120	father=1220	depth=4
vertex=121	father=9321	depth=3
vertex=122	father=5181	depth=3
vertex=123	father=6159	depth=3
vertex=124	father=1284	depth=3
vertex=125	father=2757	depth=4
vertex=126	father=7674	depth=4
vertex=127	father=3354	depth=3
vertex=128	father=1398	depth=3
vertex=129	father=2678	depth=3
vertex=130	father=6731	depth=4
vertex=131	father=1085	depth=3
vertex=132	father=1760	depth=3
vertex=133	father=2325	depth=3
vertex=134	father=8406	depth=3
vertex=135	father=9587	depth=3
vertex=136	father=8140	depth=4
vertex=137	father=2232	depth=4
vertex=138	father=8516	depth=3
vertex=139	father=2191	depth=4
vertex=140	father=1589	depth=4
vertex=141	father=8961	depth=3
vertex=142	father=2705	depth=3
vertex=143	father=6157	depth=3
vertex=144	father=9677	depth=3
vertex=145	father=3729	depth=3
vertex=146	father=3779	depth=3
vertex=147	father=8064	depth=3
vertex=148	father=1	depth=1
vertex=149	father=5856	depth=3
vertex=150	father=4732	depth=3
vertex=151	father=5121	depth=3
vertex=152	father=5000	depth=3
vertex=153	father=1398	depth=3
vertex=154	father=9677	depth=3
vertex=155	father=9770	depth=4
vertex=156	father=7796	depth=4
vertex=157	father=7677	depth=3
vertex=158	father=1063	depth=2
vertex=159	father=3460	depth=3
vertex=160	father=8347	depth=4
vertex=161	father=5971	depth=3
vertex=162	father=7769	depth=3
vertex=163	father=6191	depth=4
vertex=164	father=8359	depth=3
vertex=165	father=9944	depth=3
vertex=166	father=8743	depth=4
vertex=167	father=893	depth=3
vertex=168	father=482	depth=4
vertex=169	father=8981	depth=2
vertex=170	father=4045	depth=4
vertex=171	father=4082	depth=3
vertex=172	father=2888	depth=4
vertex=173	father=827	depth=3
vertex=174	father=9167	depth=3
vertex=175	father=4135	depth=3
vertex=176	father=1696	depth=3
vertex=177	father=6044	depth=4
vertex=178	father=8409	depth=3
vertex=179	father=9944	depth=3
vertex=180	father=8981	depth=2
vertex=181	father=8579	depth=4
vertex=182	father=8622	depth=3
vertex=183	father=9519	depth=3
vertex=184	father=9154	depth=4
vertex=185	father=2443	depth=3
vertex=186	father=2072	depth=4
vertex=187	father=6705	depth=3
vertex=188	father=9849	depth=4
vertex=189	father=9137	depth=3
vertex=190	father=4134	depth=4
vertex=191	father=3360	depth=3
vertex=192	father=9553	depth=4
vertex=193	father=6435	depth=3
vertex=194	father=8064	depth=3
vertex=195	father=2969	depth=3
vertex=196	father=5850	depth=4
vertex=197	father=3729	depth=3
vertex=198	father=8440	depth=3
vertex=199	father=7146	depth=4
vertex=200	father=1604	depth=3
vertex=201	father=9623	depth=3
vertex=202	father=5541	depth=3
vertex=203	father=1946	depth=4
vertex=204	father=7875	depth=3
vertex=205	father=6762	depth=4
vertex=206	father=800	depth=4
vertex=207	father=9847	depth=3
vertex=208	father=7733	depth=3
vertex=209	father=4679	depth=4
vertex=210	father=9321	depth=3
vertex=211	father=2120	depth=4
vertex=212	father=4083	depth=3
vertex=213	father=9147	depth=3
vertex=214	father=352	depth=4
vertex=215	father=9839	depth=4
vertex=216	father=3259	depth=3
vertex=217	father=3310	depth=4
vertex=218	father=331	depth=2
vertex=219	father=3218	depth=4
vertex=220	father=8678	depth=3
vertex=221	father=943	depth=4
vertex=222	father=4459	depth=4
vertex=223	father=3822	depth=3
vertex=224	father=7578	depth=3
vertex=225	father=482	depth=4
vertex=226	father=2321	depth=4
vertex=227	father=7561	depth=3
vertex=228	father=1299	depth=2
vertex=229	father=4703	depth=3
vertex=230	father=3346	depth=4
vertex=231	father=1806	depth=4
vertex=232	father=7962	depth=2
vertex=233	father=5737	depth=4
vertex=234	father=1655	depth=4
vertex=235	father=6753	depth=4
vertex=236	father=5181	depth=3
vertex=237	father=2943	depth=4
vertex=238	father=9175	depth=3
vertex=239	father=3706	depth=4
vertex=240	father=4090	depth=4
vertex=241	father=6566	depth=3
vertex=242	father=8340	depth=3
vertex=243	father=1908	depth=2
vertex=244	father=8834	depth=3
vertex=245	father=3212	depth=3
vertex=246	father=6100	depth=4
vertex=247	father=2773	depth=4
vertex=248	father=1041	depth=4
vertex=249	father=9175	depth=3
vertex=250	father=6434	depth=3
vertex=251	father=4081	depth=4
vertex=252	father=5723	depth=4
vertex=253	father=4500	depth=2
vertex=254	father=4584	depth=3
vertex=255	father=7982	depth=3
vertex=256	father=3582	depth=4
vertex=257	father=8790	depth=4
vertex=258	father=7010	depth=3
vertex=259	father=7246	depth=3
vertex=260	father=1550	depth=3
vertex=261	father=6817	depth=3
vertex=262	father=4709	depth=3
vertex=263	father=1548	depth=3
vertex=264	father=3600	depth=3
vertex=265	father=1482	depth=3
vertex=266	father=3822	depth=3
vertex=267	father=6616	depth=3
vertex=268	father=4238	depth=4
vertex=269	father=2232	depth=4
vertex=270	father=2623	depth=4
vertex=271	father=3985	depth=4
vertex=272	father=3369	depth=3
vertex=273	father=4584	depth=3
vertex=274	father=1468	depth=3
vertex=275	father=9315	depth=3
vertex=276	father=3747	depth=3
vertex=277	father=7595	depth=2
vertex=278	father=5631	depth=3
vertex=279	father=7106	depth=3
vertex=280	father=5631	depth=3
vertex=281	father=8529	depth=3
vertex=282	father=7331	depth=4
vertex=283	father=4015	depth=3
vertex=284	father=8964	depth=4
vertex=285	father=8981	depth=2
vertex=286	father=148	depth=2
vertex=287	father=9470	depth=4
vertex=288	father=253	depth=3
vertex=289	father=4183	depth=4
vertex=290	father=3982	depth=3
vertex=291	father=9901	depth=3
vertex=292	father=9848	depth=4
vertex=293	father=7660	depth=3
vertex=294	father=7595	depth=2
vertex=295	father=662	depth=3
vertex=296	father=6654	depth=3
vertex=297	father=899	depth=4
vertex=298	father=3369	depth=3
vertex=299	father=662	depth=3
vertex=300	father=9543	depth=3
vertex=301	father=180	depth=3
vertex=302	father=9438	depth=4
vertex=303	father=6993	depth=3
vertex=304	father=4100	depth=4
vertex=305	father=1731	depth=3
vertex=306	father=169	depth=3
vertex=307	father=8307	depth=3
vertex=308	father=6157	depth=3
vertex=309	father=6948	depth=3
vertex=310	father=812	depth=3
vertex=311	father=2494	depth=3
vertex=312	father=696	depth=3
vertex=313	father=5130	depth=3
vertex=314	father=8841	depth=4
vertex=315	father=8961	depth=3
vertex=316	father=3155	depth=4
vertex=317	father=1211	depth=4
vertex=318	father=347	depth=4
vertex=319	father=9050	depth=4
vertex=320	father=5143	depth=4
vertex=321	father=9002	depth=3
vertex=322	father=3747	depth=3
vertex=323	father=7662	depth=4
vertex=324	father=3985	depth=4
vertex=325	father=4563	depth=3
vertex=326	father=9871	depth=4
vertex=327	father=8507	depth=3
vertex=328	father=5133	depth=4
vertex=329	father=4500	depth=2
vertex=330	father=9232	depth=3
vertex=331	father=1	depth=1
vertex=332	father=876	depth=4
vertex=333	father=8097	depth=3
vertex=334	father=6235	depth=3
vertex=335	father=1033	depth=4
vertex=336	father=9504	depth=4
vertex=337	father=294	depth=3
vertex=338	father=4326	depth=3
vertex=339	father=3320	depth=4
vertex=340	father=2101	depth=4
vertex=341	father=6817	depth=3
vertex=342	father=4988	depth=4
vertex=343	father=8535	depth=3
vertex=344	father=4491	depth=3
vertex=345	father=8919	depth=3
vertex=346	father=3924	depth=3
vertex=347	father=7959	depth=3
vertex=348	father=1284	depth=3
vertex=349	father=2304	depth=4
vertex=350	father=8961	depth=3
vertex=351	father=5319	depth=3
vertex=352	father=7043	depth=3
vertex=353	father=849	depth=4
vertex=354	father=896	depth=4
vertex=355	father=5858	depth=4
vertex=356	father=2458	depth=3
vertex=357	father=3924	depth=3
vertex=358	father=9724	depth=3
vertex=359	father=7183	depth=3
vertex=360	father=896	depth=4
vertex=361	father=2238	depth=3
vertex=362	father=1604	depth=3
vertex=363	father=9698	depth=4
vertex=364	father=8418	depth=4
vertex=365	father=3956	depth=4
vertex=366	father=9710	depth=4
vertex=367	father=2705	depth=3
vertex=368	father=1299	depth=2
vertex=369	father=966	depth=3
vertex=370	father=4906	depth=4
vertex=371	father=5495	depth=3
vertex=372	father=2120	depth=4
vertex=373	father=8791	depth=4
vertex=374	father=4703	depth=3
vertex=375	father=4505	depth=4
vertex=376	father=1289	depth=4
vertex=377	father=6736	depth=4
vertex=378	father=9920	depth=4
vertex=379	father=3276	depth=4
vertex=380	father=8871	depth=4
vertex=381	father=764	depth=3
vertex=382	father=331	depth=2
vertex=383	father=6824	depth=4
vertex=384	father=6673	depth=4
vertex=385	father=8463	depth=3
vertex=386	father=5638	depth=4
vertex=387	father=2450	depth=3
vertex=388	father=9901	depth=3
vertex=389	father=3224	depth=3
vertex=390	father=2853	depth=3
vertex=391	father=2069	depth=2
vertex=392	father=4607	depth=3
vertex=393	father=3417	depth=3
vertex=394	father=9519	depth=3
vertex=395	father=9232	depth=3
vertex=396	father=8167	depth=3
vertex=397	father=3401	depth=3
vertex=398	father=3820	depth=4
vertex=399	father=1716	depth=3
vertex=400	father=391	depth=3
vertex=401	father=3950	depth=3
vertex=402	father=6738	depth=3
vertex=403	father=7149	depth=3
vertex=404	father=3947	depth=4
vertex=405	father=5831	depth=4
vertex=406	father=4015	depth=3
vertex=407	father=7867	depth=4
vertex=408	father=4506	depth=4
vertex=409	father=9981	depth=3
vertex=410	father=9327	depth=3
vertex=411	father=1611	depth=4
vertex=412	father=4770	depth=3
vertex=413	father=3483	depth=3
vertex=414	father=180	depth=3
vertex=415	father=9724	depth=3
vertex=416	father=8406	depth=3
vertex=417	father=3237	depth=4
vertex=418	father=9295	depth=3
vertex=419	father=7595	depth=2
vertex=420	father=4386	depth=3
vertex=421	father=2001	depth=3
vertex=422	father=1211	depth=4
vertex=423	father=2111	depth=4
vertex=424	father=7077	depth=3
vertex=425	father=4086	depth=4
vertex=426	father=6539	depth=3
vertex=427	father=3891	depth=3
vertex=428	father=2909	depth=3
vertex=429	father=4828	depth=3
vertex=430	father=2657	depth=3
vertex=431	father=2687	depth=3
vertex=432	father=6800	depth=4
vertex=433	father=2069	depth=2
vertex=434	father=1157	depth=4
vertex=435	father=6845	depth=3
vertex=436	father=8149	depth=4
vertex=437	father=660	depth=4
vertex=438	father=180	depth=3
vertex=439	father=7708	depth=3
vertex=440	father=4082	depth=3
vertex=441	father=6998	depth=3
vertex=442	father=5971	depth=3
vertex=443	father=1676	depth=4
vertex=444	father=9466	depth=3
vertex=445	father=6920	depth=4
vertex=446	father=5748	depth=3
vertex=447	father=4135	depth=3
vertex=448	father=3795	depth=3
vertex=449	father=7962	depth=2
vertex=450	father=8336	depth=3
vertex=451	father=4075	depth=4
vertex=452	father=3790	depth=4
vertex=453	father=1988	depth=4
vertex=454	father=6640	depth=4
vertex=455	father=1288	depth=3
vertex=456	father=6872	depth=4
vertex=457	father=2686	depth=4
vertex=458	father=4338	depth=4
vertex=459	father=6370	depth=3
vertex=460	father=1150	depth=4
vertex=461	father=6679	depth=3
vertex=462	father=5151	depth=3
vertex=463	father=2678	depth=3
vertex=464	father=9981	depth=3
vertex=465	father=8532	depth=3
vertex=466	father=1212	depth=4
vertex=467	father=7099	depth=3
vertex=468	father=3274	depth=4
vertex=469	father=253	depth=3
vertex=470	father=2496	depth=4
vertex=471	father=6705	depth=3
vertex=472	father=4002	depth=3
vertex=473	father=9082	depth=3
vertex=474	father=9050	depth=4
vertex=475	father=6996	depth=3
vertex=476	father=4135	depth=3
vertex=477	father=9849	depth=4
vertex=478	father=4828	depth=3
vertex=479	father=4504	depth=3
vertex=480	father=7928	depth=4
vertex=481	father=650	depth=4
vertex=482	father=285	depth=3
vertex=483	father=6664	depth=4
vertex=484	father=1976	depth=3
vertex=485	father=7041	depth=4
vertex=486	father=277	depth=3
vertex=487	father=7762	depth=4
vertex=488	father=4060	depth=3
vertex=489	father=8228	depth=3
vertex=490	father=4732	depth=3
vertex=491	father=3259	depth=3
vertex=492	father=3397	depth=4
vertex=493	father=6492	depth=4
vertex=494	father=4220	depth=3
vertex=495	father=8512	depth=4
vertex=496	father=7041	depth=4
vertex=497	father=1760	depth=3
vertex=498	father=3084	depth=4
vertex=499	father=3099	depth=3
vertex=500	father=6142	depth=2
vertex=501	father=1284	depth=3
vertex=502	father=9910	depth=3
vertex=503	father=7196	depth=3
vertex=504	father=3248	depth=3
vertex=505	father=2740	depth=4
vertex=506	father=3956	depth=4
vertex=507	father=1297	depth=4
vertex=508	father=5521	depth=3
vertex=509	father=1449	depth=3
vertex=510	father=1603	depth=3
vertex=511	father=9858	depth=4
vertex=512	father=9567	depth=4
vertex=513	father=2705	depth=3
vertex=514	father=6887	depth=3
vertex=515	father=1323	depth=4
vertex=516	father=509	depth=4
vertex=517	father=854	depth=3
vertex=518	father=4491	depth=3
vertex=519	father=95	depth=4
vertex=520	father=44	depth=3
vertex=521	father=3600	depth=3
vertex=522	father=9658	depth=3
vertex=523	father=2499	depth=4
vertex=524	father=301	depth=4
vertex=525	father=7248	depth=4
vertex=526	father=1869	depth=3
vertex=527	father=8216	depth=2
vertex=528	father=7706	depth=4
vertex=529	father=7721	depth=4
vertex=530	father=9309	depth=3
vertex=531	father=2068	depth=4
vertex=532	father=6327	depth=4
vertex=533	father=3603	depth=4
vertex=534	father=1419	depth=3
vertex=535	father=3354	depth=3
vertex=536	father=6616	depth=3
vertex=537	father=8911	depth=3
vertex=538	father=3801	depth=4
vertex=539	father=255	depth=4
vertex=540	father=5670	depth=4
vertex=541	father=9777	depth=4
vertex=542	father=1482	depth=3
vertex=543	father=1604	depth=3
vertex=544	father=5327	depth=3
vertex=545	father=8140	depth=4
vertex=546	father=9212	depth=4
vertex=547	father=1274	depth=3
vertex=548	father=3486	depth=3
vertex=549	father=6312	depth=4
vertex=550	father=2754	depth=4
vertex=551	father=5971	depth=3
vertex=552	father=2782	depth=3
vertex=553	father=3872	depth=4
vertex=554	father=5130	depth=3
vertex=555	father=3500	depth=4
vertex=556	father=4347	depth=4
vertex=557	father=621	depth=4
vertex=558	father=6175	depth=4
vertex=559	father=3027	depth=4
vertex=560	father=8183	depth=2
vertex=561	father=6679	depth=3
vertex=562	father=1302	depth=4
vertex=563	father=1063	depth=2
vertex=564	father=8370	depth=4
vertex=565	father=3027	depth=4
vertex=566	father=527	depth=3
vertex=567	father=8227	depth=4
vertex=568	father=8227	depth=4
vertex=569	father=3224	depth=3
vertex=570	father=7846	depth=4
vertex=571	father=3079	depth=3
vertex=572	father=7131	depth=3
vertex=573	father=7660	depth=3
vertex=574	father=9661	depth=3
vertex=575	father=1321	depth=3
vertex=576	father=8436	depth=3
vertex=577	father=5327	depth=3
vertex=578	father=1783	depth=4
vertex=579	father=3706	depth=4
vertex=580	father=6243	depth=4
vertex=581	father=1085	depth=3
vertex=582	father=2532	depth=4
vertex=583	father=9175	depth=3
vertex=584	father=7102	depth=4
vertex=585	father=4914	depth=4
vertex=586	father=4326	depth=3
vertex=587	father=6988	depth=4
vertex=588	father=9623	depth=3
vertex=589	father=420	depth=4
vertex=590	father=500	depth=3
vertex=591	father=6440	depth=4
vertex=592	father=8555	depth=3
vertex=593	father=7113	depth=3
vertex=594	father=6343	depth=4
vertex=595	father=8096	depth=4
vertex=596	father=4732	depth=3
vertex=597	father=6861	depth=3
vertex=598	father=6141	depth=3
vertex=599	father=9284	depth=3
vertex=600	father=1216	depth=4
vertex=601	father=6136	depth=3
vertex=602	father=4607	depth=3
vertex=603	father=827	depth=3
vertex=604	father=6861	depth=3
vertex=605	father=8382	depth=3
vertex=606	father=4491	depth=3
vertex=607	father=5942	depth=3
vertex=608	father=7840	depth=3
vertex=609	father=8588	depth=4
vertex=610	father=1321	depth=3
vertex=611	father=6982	depth=4
vertex=612	father=9446	depth=3
vertex=613	father=3212	depth=3
vertex=614	father=9330	depth=4
vertex=615	father=3083	depth=3
vertex=616	father=5781	depth=4
vertex=617	father=2042	depth=3
vertex=618	father=2375	depth=4
vertex=619	father=7982	depth=3
vertex=620	father=882	depth=4
vertex=621	father=8340	depth=3
vertex=622	father=8578	depth=3
vertex=623	father=1343	depth=3
vertex=624	father=7727	depth=4
vertex=625	father=8064	depth=3
vertex=626	father=7674	depth=4
vertex=627	father=1342	depth=3
vertex=628	father=1828	depth=3
vertex=629	father=1398	depth=3
vertex=630	father=560	depth=3
vertex=631	father=3285	depth=4
vertex=632	father=9002	depth=3
vertex=633	father=8228	depth=3
vertex=634	father=2394	depth=4
vertex=635	father=3400	depth=4
vertex=636	father=9069	depth=4
vertex=637	father=3600	depth=3
vertex=638	father=2994	depth=4
vertex=639	father=9654	depth=3
vertex=640	father=2582	depth=3
vertex=641	father=9724	depth=3
vertex=642	father=6928	depth=3
vertex=643	father=4135	depth=3
vertex=644	father=6142	depth=2
vertex=645	father=8770	depth=4
vertex=646	father=662	depth=3
vertex=647	father=893	depth=3
vertex=648	father=4560	depth=4
vertex=649	father=4541	depth=3
vertex=650	father=3822	depth=3
vertex=651	father=1760	depth=3
vertex=652	father=7113	depth=3
vertex=653	father=5169	depth=3
vertex=654	father=7379	depth=3
vertex=655	father=187	depth=4
vertex=656	father=1425	depth=4
vertex=657	father=2623	depth=4
vertex=658	father=3891	depth=3
vertex=659	father=2912	depth=4
vertex=660	father=8340	depth=3
vertex=661	father=560	depth=3
vertex=662	father=7616	depth=2
vertex=663	father=3490	depth=4
vertex=664	father=253	depth=3
vertex=665	father=7664	depth=3
vertex=666	father=890	depth=4
vertex=667	father=7710	depth=4
vertex=668	father=5834	depth=4
vertex=669	father=6986	depth=4
vertex=670	father=449	depth=3
vertex=671	father=8990	depth=4
vertex=672	father=2853	depth=3
vertex=673	father=2445	depth=3
vertex=674	father=896	depth=4
vertex=675	father=3779	depth=3
vertex=676	father=3361	depth=4
vertex=677	father=6544	depth=4
vertex=678	father=1030	depth=3
vertex=679	father=9168	depth=4
vertex=680	father=5874	depth=3
vertex=681	father=1603	depth=3
vertex=682	father=5748	depth=3
vertex=683	father=5959	depth=4
vertex=684	father=1419	depth=3
vertex=685	father=5441	depth=4
vertex=686	father=5278	depth=4
vertex=687	father=5488	depth=4
vertex=688	father=6432	depth=3
vertex=689	father=4740	depth=3
vertex=690	father=4541	depth=3
vertex=691	father=8270	depth=4
vertex=692	father=176	depth=4
vertex=693	father=3636	depth=3
vertex=694	father=7561	depth=3
vertex=695	father=1696	depth=3
vertex=696	father=1063	depth=2
vertex=697	father=7733	depth=3
vertex=698	father=800	depth=4
vertex=699	father=2278	depth=4
vertex=700	father=2310	depth=4
vertex=701	father=825	depth=3
vertex=702	father=3274	depth=4
vertex=703	father=5611	depth=3
vertex=704	father=6210	depth=3
vertex=705	father=9759	depth=3
vertex=706	father=9858	depth=4
vertex=707	father=3221	depth=4
vertex=708	father=1549	depth=4
vertex=709	father=8222	depth=4
vertex=710	father=8228	depth=3
vertex=711	father=3425	depth=4
vertex=712	father=471	depth=4
vertex=713	father=9167	depth=3
vertex=714	father=5397	depth=4
vertex=715	father=148	depth=2
vertex=716	father=7120	depth=4
vertex=717	father=5634	depth=3
vertex=718	father=899	depth=4
vertex=719	father=1550	depth=3
vertex=720	father=4083	depth=3
vertex=721	father=1561	depth=3
vertex=722	father=9591	depth=3
vertex=723	father=791	depth=4
vertex=724	father=8064	depth=3
vertex=725	father=3237	depth=4
vertex=726	father=5328	depth=4
vertex=727	father=890	depth=4
vertex=728	father=9137	depth=3
vertex=729	father=2811	depth=4
vertex=730	father=3043	depth=4
vertex=731	father=3600	depth=3
vertex=732	father=2606	depth=3
vertex=733	father=3950	depth=3
vertex=734	father=4201	depth=4
vertex=735	father=96	depth=3
vertex=736	father=5562	depth=4
vertex=737	father=9327	depth=3
vertex=738	father=5083	depth=3
vertex=739	father=6123	depth=3
vertex=740	father=6845	depth=3
vertex=741	father=6845	depth=3
vertex=742	father=966	depth=3
vertex=743	father=9623	depth=3
vertex=744	father=1171	depth=4
vertex=745	father=9519	depth=3
vertex=746	father=6406	depth=4
vertex=747	father=8257	depth=3
vertex=748	father=494	depth=4
vertex=749	father=176	depth=4
vertex=750	father=1418	depth=3
vertex=751	father=3084	depth=4
vertex=752	father=4357	depth=4
vertex=753	father=8257	depth=3
vertex=754	father=3083	depth=3
vertex=755	father=3325	depth=4
vertex=756	father=1716	depth=3
vertex=757	father=9167	depth=3
vertex=758	father=5714	depth=3
vertex=759	father=8266	depth=3
vertex=760	father=6705	depth=3
vertex=761	father=4455	depth=4
vertex=762	father=6211	depth=3
vertex=763	father=1275	depth=4
vertex=764	father=7616	depth=2
vertex=765	father=1033	depth=4
vertex=766	father=9847	depth=3
vertex=767	father=3890	depth=4
vertex=768	father=8800	depth=4
vertex=769	father=7399	depth=4
vertex=770	father=148	depth=2
vertex=771	father=2319	depth=4
vertex=772	father=6920	depth=4
vertex=773	father=4891	depth=3
vertex=774	father=696	depth=3
vertex=775	father=294	depth=3
vertex=776	father=2881	depth=3
vertex=777	father=6899	depth=4
vertex=778	father=6640	depth=4
vertex=779	father=7131	depth=3
vertex=780	father=5815	depth=3
vertex=781	father=1828	depth=3
vertex=782	father=9957	depth=3
vertex=783	father=7183	depth=3
vertex=784	father=5327	depth=3
vertex=785	father=5342	depth=4
vertex=786	father=8556	depth=4
vertex=787	father=3055	depth=3
vertex=788	father=9648	depth=4
vertex=789	father=4504	depth=3
vertex=790	father=3795	depth=3
vertex=791	father=4519	depth=3
vertex=792	father=7561	depth=3
