vertex=1	father=0	depth=0
vertex=21	father=20077	depth=1258
vertex=67	father=17566	depth=1161
vertex=74	father=22945	depth=2658
vertex=77	father=46240	depth=42
vertex=90	father=7784	depth=218
vertex=91	father=42461	depth=2630
vertex=99	father=47078	depth=2669
vertex=101	father=36033	depth=2427
vertex=108	father=49841	depth=913
vertex=117	father=49233	depth=2294
vertex=118	father=3659	depth=682
vertex=154	father=20874	depth=1494
vertex=177	father=15517	depth=296
vertex=200	father=37344	depth=1649
vertex=202	father=19606	depth=1461
vertex=209	father=38725	depth=2532
vertex=264	father=38243	depth=1938
vertex=278	father=45388	depth=1310
vertex=288	father=31891	depth=1452
vertex=314	father=19797	depth=1281
vertex=321	father=41801	depth=344
vertex=400	father=22875	depth=84
vertex=403	father=5997	depth=734
vertex=404	father=33965	depth=2176
vertex=418	father=18216	depth=951
vertex=437	father=44510	depth=11
vertex=439	father=22477	depth=1733
vertex=464	father=13486	depth=225
vertex=472	father=43986	depth=1761
vertex=497	father=31258	depth=2508
vertex=498	father=26653	depth=227
vertex=500	father=29210	depth=840
vertex=518	father=24704	depth=850
vertex=525	father=43644	depth=2657
vertex=561	father=25348	depth=2661
vertex=568	father=18188	depth=305
vertex=585	father=35623	depth=29
vertex=598	father=26799	depth=1424
vertex=610	father=43474	depth=1541
vertex=618	father=43656	depth=6
vertex=631	father=27397	depth=346
vertex=658	father=10625	depth=396
vertex=686	father=28109	depth=447
vertex=711	father=6927	depth=1668
vertex=717	father=38942	depth=2214
vertex=751	father=24426	depth=206
vertex=753	father=40314	depth=583
vertex=787	father=46131	depth=944
vertex=801	father=6887	depth=250
vertex=803	father=40545	depth=1480
vertex=820	father=9118	depth=702
vertex=831	father=38617	depth=543
vertex=835	father=8748	depth=1703
vertex=851	father=40176	depth=2343
vertex=872	father=5571	depth=1836
vertex=890	father=14030	depth=2277
vertex=894	father=32329	depth=2579
vertex=908	father=44975	depth=1913
vertex=928	father=15216	depth=2682
vertex=942	father=17015	depth=2674
vertex=945	father=25436	depth=1004
vertex=1014	father=35850	depth=2637
vertex=1015	father=42067	depth=2463
vertex=1032	father=7148	depth=933
vertex=1048	father=4182	depth=2024
vertex=1050	father=22129	depth=2012
vertex=1066	father=6728	depth=2178
