--- Arvore geradora minima de 10---
10 ~> 1 | dist: 1.48
10 ~> 2 | dist: 2.27
10 ~> 3 | dist: 2.05
10 ~> 4 | dist: 2.42
10 ~> 5 | dist: 2.45
10 ~> 6 | dist: 1.93
10 ~> 7 | dist: 2.50
10 ~> 8 | dist: 1.64
10 ~> 9 | dist: 1.87
10 ~> 10 | dist: 0.00
10 ~> 11 | dist: 2.30
10 ~> 12 | dist: 2.42
10 ~> 13 | dist: 2.36
10 ~> 14 | dist: 2.35
10 ~> 15 | dist: 1.80
10 ~> 16 | dist: 2.14
10 ~> 17 | dist: 2.02
10 ~> 18 | dist: 2.23
10 ~> 19 | dist: 2.49
10 ~> 20 | dist: 2.38
10 ~> 21 | dist: 1.48
10 ~> 22 | dist: 2.19
10 ~> 23 | dist: 2.52
10 ~> 24 | dist: 2.52
10 ~> 25 | dist: 2.53
10 ~> 26 | dist: 2.03
10 ~> 27 | dist: 1.94
10 ~> 28 | dist: 2.65
10 ~> 29 | dist: 1.78
10 ~> 30 | dist: 1.72
10 ~> 31 | dist: 2.52
10 ~> 32 | dist: 1.92
10 ~> 33 | dist: 1.43
10 ~> 34 | dist: 2.41
10 ~> 35 | dist: 2.74
10 ~> 36 | dist: 1.65
10 ~> 37 | dist: 2.02
10 ~> 38 | dist: 2.01
10 ~> 39 | dist: 2.54
10 ~> 40 | dist: 2.05
10 ~> 41 | dist: 2.34
10 ~> 42 | dist: 1.45
10 ~> 43 | dist: 2.05
10 ~> 44 | dist: 1.58
10 ~> 45 | dist: 2.41
10 ~> 46 | dist: 3.08
10 ~> 47 | dist: 1.94
10 ~> 48 | dist: 0.97
10 ~> 49 | dist: 1.62
10 ~> 50 | dist: 1.20
10 ~> 51 | dist: 2.66
10 ~> 52 | dist: 2.48
10 ~> 53 | dist: 2.52
10 ~> 54 | dist: 2.42
10 ~> 55 | dist: 2.57
10 ~> 56 | dist: 1.97
10 ~> 57 | dist: 1.76
10 ~> 58 | dist: 2.55
10 ~> 59 | dist: 2.05
10 ~> 60 | dist: 2.00
10 ~> 61 | dist: 2.44
10 ~> 62 | dist: 2.04
10 ~> 63 | dist: 2.24
10 ~> 64 | dist: 2.55
10 ~> 65 | dist: 2.22
10 ~> 66 | dist: 1.98
10 ~> 67 | dist: 1.79
10 ~> 68 | dist: 2.80
10 ~> 69 | dist: 2.26
10 ~> 70 | dist: 2.10
10 ~> 71 | dist: 1.98
10 ~> 72 | dist: 2.13
10 ~> 73 | dist: 2.16
10 ~> 74 | dist: 2.30
10 ~> 75 | dist: 2.03
10 ~> 76 | dist: 1.25
10 ~> 77 | dist: 3.59
10 ~> 78 | dist: 1.39
10 ~> 79 | dist: 1.66
10 ~> 80 | dist: 2.52
10 ~> 81 | dist: 2.02
10 ~> 82 | dist: 3.04
10 ~> 83 | dist: 1.86
10 ~> 84 | dist: 2.55
10 ~> 85 | dist: 2.20
10 ~> 86 | dist: 2.01
10 ~> 87 | dist: 1.76
10 ~> 88 | dist: 2.63
10 ~> 89 | dist: 2.32
10 ~> 90 | dist: 2.70
10 ~> 91 | dist: 2.13
10 ~> 92 | dist: 2.15
10 ~> 93 | dist: 2.70
10 ~> 94 | dist: 2.38
10 ~> 95 | dist: 1.89
10 ~> 96 | dist: 1.65
10 ~> 97 | dist: 1.92
10 ~> 98 | dist: 2.57
10 ~> 99 | dist: 2.93
10 ~> 100 | dist: 2.91
10 ~> 101 | dist: 2.13
10 ~> 102 | dist: 1.84
10 ~> 103 | dist: 1.99
10 ~> 104 | dist: 2.23
10 ~> 105 | dist: 2.06
10 ~> 106 | dist: 0.78
10 ~> 107 | dist: 2.14
10 ~> 108 | dist: 1.75
10 ~> 109 | dist: 1.84
10 ~> 110 | dist: 2.34
10 ~> 111 | dist: 2.20
10 ~> 112 | dist: 1.86
10 ~> 113 | dist: 2.24
10 ~> 114 | dist: 2.14
10 ~> 115 | dist: 1.52
10 ~> 116 | dist: 2.43
10 ~> 117 | dist: 1.63
10 ~> 118 | dist: 2.18
10 ~> 119 | dist: 2.14
10 ~> 120 | dist: 1.13
10 ~> 121 | dist: 1.53
10 ~> 122 | dist: 2.47
10 ~> 123 | dist: 2.44
10 ~> 124 | dist: 1.89
10 ~> 125 | dist: 1.61
10 ~> 126 | dist: 1.88
10 ~> 127 | dist: 1.82
10 ~> 128 | dist: 2.04
10 ~> 129 | dist: 2.70
10 ~> 130 | dist: 2.19
10 ~> 131 | dist: 2.39
10 ~> 132 | dist: 2.10
10 ~> 133 | dist: 1.71
10 ~> 134 | dist: 1.90
10 ~> 135 | dist: 2.53
10 ~> 136 | dist: 2.03
10 ~> 137 | dist: 1.80
10 ~> 138 | dist: 2.96
10 ~> 139 | dist: 1.87
10 ~> 140 | dist: 2.59
10 ~> 141 | dist: 2.03
10 ~> 142 | dist: 2.47
10 ~> 143 | dist: 2.25
10 ~> 144 | dist: 1.98
10 ~> 145 | dist: 2.86
10 ~> 146 | dist: 2.58
10 ~> 147 | dist: 2.11
10 ~> 148 | dist: 2.27
10 ~> 149 | dist: 2.58
10 ~> 150 | dist: 2.31
10 ~> 151 | dist: 2.54
10 ~> 152 | dist: 2.06
10 ~> 153 | dist: 2.05
10 ~> 154 | dist: 2.31
10 ~> 155 | dist: 2.30
10 ~> 156 | dist: 2.83
10 ~> 157 | dist: 1.65
10 ~> 158 | dist: 2.25
10 ~> 159 | dist: 2.62
10 ~> 160 | dist: 2.10
10 ~> 161 | dist: 2.31
10 ~> 162 | dist: 2.53
10 ~> 163 | dist: 1.97
10 ~> 164 | dist: 2.54
10 ~> 165 | dist: 2.70
10 ~> 166 | dist: 2.61
10 ~> 167 | dist: 2.05
10 ~> 168 | dist: 2.13
10 ~> 169 | dist: 3.04
10 ~> 170 | dist: 2.26
10 ~> 171 | dist: 2.48
10 ~> 172 | dist: 1.93
10 ~> 173 | dist: 2.39
10 ~> 174 | dist: 2.25
10 ~> 175 | dist: 1.68
10 ~> 176 | dist: 2.65
10 ~> 177 | dist: 2.18
10 ~> 178 | dist: 2.36
10 ~> 179 | dist: 2.43
10 ~> 180 | dist: 2.39
10 ~> 181 | dist: 2.56
10 ~> 182 | dist: 1.70
10 ~> 183 | dist: 1.87
10 ~> 184 | dist: 2.16
10 ~> 185 | dist: 2.05
10 ~> 186 | dist: 2.00
10 ~> 187 | dist: 2.25
10 ~> 188 | dist: 2.08
10 ~> 189 | dist: 1.95
10 ~> 190 | dist: 2.24
10 ~> 191 | dist: 2.16
10 ~> 192 | dist: 2.34
10 ~> 193 | dist: 2.83
10 ~> 194 | dist: 2.19
10 ~> 195 | dist: 2.20
10 ~> 196 | dist: 2.39
10 ~> 197 | dist: 2.56
10 ~> 198 | dist: 2.20
10 ~> 199 | dist: 3.24
10 ~> 200 | dist: 1.63
10 ~> 201 | dist: 2.27
10 ~> 202 | dist: 2.27
10 ~> 203 | dist: 2.51
10 ~> 204 | dist: 2.28
10 ~> 205 | dist: 2.18
10 ~> 206 | dist: 2.91
10 ~> 207 | dist: 2.44
10 ~> 208 | dist: 2.71
10 ~> 209 | dist: 2.05
10 ~> 210 | dist: 2.05
10 ~> 211 | dist: 1.19
10 ~> 212 | dist: 1.44
10 ~> 213 | dist: 2.75
10 ~> 214 | dist: 1.56
10 ~> 215 | dist: 2.73
10 ~> 216 | dist: 2.61
10 ~> 217 | dist: 2.31
10 ~> 218 | dist: 2.06
10 ~> 219 | dist: 2.16
10 ~> 220 | dist: 2.48
10 ~> 221 | dist: 2.42
10 ~> 222 | dist: 2.46
10 ~> 223 | dist: 2.56
10 ~> 224 | dist: 2.64
10 ~> 225 | dist: 2.13
10 ~> 226 | dist: 2.61
10 ~> 227 | dist: 2.38
10 ~> 228 | dist: 1.84
10 ~> 229 | dist: 1.82
10 ~> 230 | dist: 2.27
10 ~> 231 | dist: 2.03
10 ~> 232 | dist: 2.08
10 ~> 233 | dist: 2.42
10 ~> 234 | dist: 2.05
10 ~> 235 | dist: 2.65
10 ~> 236 | dist: 2.34
10 ~> 237 | dist: 1.91
10 ~> 238 | dist: 3.02
10 ~> 239 | dist: 2.35
10 ~> 240 | dist: 2.31
10 ~> 241 | dist: 1.73
10 ~> 242 | dist: 2.68
10 ~> 243 | dist: 2.72
10 ~> 244 | dist: 2.69
10 ~> 245 | dist: 2.52
10 ~> 246 | dist: 1.49
10 ~> 247 | dist: 2.41
