--- Arvore geradora minima de 20---
20 ~> 1 | dist: 2.21
20 ~> 2 | dist: 2.16
20 ~> 3 | dist: 1.65
20 ~> 4 | dist: 2.38
20 ~> 5 | dist: 2.46
20 ~> 6 | dist: 1.48
20 ~> 7 | dist: 2.63
20 ~> 8 | dist: 2.36
20 ~> 9 | dist: 2.24
20 ~> 10 | dist: 2.38
20 ~> 11 | dist: 1.80
20 ~> 12 | dist: 2.48
20 ~> 13 | dist: 2.33
20 ~> 14 | dist: 2.23
20 ~> 15 | dist: 1.59
20 ~> 16 | dist: 1.97
20 ~> 17 | dist: 2.36
20 ~> 18 | dist: 2.73
20 ~> 19 | dist: 1.83
20 ~> 20 | dist: 0.00
20 ~> 21 | dist: 1.64
20 ~> 22 | dist: 1.98
20 ~> 23 | dist: 1.98
20 ~> 24 | dist: 2.74
20 ~> 25 | dist: 2.49
20 ~> 26 | dist: 2.10
20 ~> 27 | dist: 2.28
20 ~> 28 | dist: 2.18
20 ~> 29 | dist: 2.46
20 ~> 30 | dist: 2.03
20 ~> 31 | dist: 2.60
20 ~> 32 | dist: 2.03
20 ~> 33 | dist: 2.29
20 ~> 34 | dist: 2.16
20 ~> 35 | dist: 2.58
20 ~> 36 | dist: 2.14
20 ~> 37 | dist: 2.28
20 ~> 38 | dist: 1.84
20 ~> 39 | dist: 2.13
20 ~> 40 | dist: 1.98
20 ~> 41 | dist: 2.40
20 ~> 42 | dist: 2.40
20 ~> 43 | dist: 2.28
20 ~> 44 | dist: 2.03
20 ~> 45 | dist: 2.51
20 ~> 46 | dist: 2.53
20 ~> 47 | dist: 1.81
20 ~> 48 | dist: 2.02
20 ~> 49 | dist: 1.94
20 ~> 50 | dist: 1.47
20 ~> 51 | dist: 1.63
20 ~> 52 | dist: 1.89
20 ~> 53 | dist: 2.00
20 ~> 54 | dist: 2.31
20 ~> 55 | dist: 2.41
20 ~> 56 | dist: 1.57
20 ~> 57 | dist: 2.00
20 ~> 58 | dist: 2.20
20 ~> 59 | dist: 2.15
20 ~> 60 | dist: 1.89
20 ~> 61 | dist: 2.42
20 ~> 62 | dist: 2.31
20 ~> 63 | dist: 2.35
20 ~> 64 | dist: 2.27
20 ~> 65 | dist: 2.15
20 ~> 66 | dist: 1.58
20 ~> 67 | dist: 1.94
20 ~> 68 | dist: 2.46
20 ~> 69 | dist: 1.87
20 ~> 70 | dist: 2.26
20 ~> 71 | dist: 2.43
20 ~> 72 | dist: 1.28
20 ~> 73 | dist: 2.19
20 ~> 74 | dist: 2.39
20 ~> 75 | dist: 1.83
20 ~> 76 | dist: 1.77
20 ~> 77 | dist: 3.40
20 ~> 78 | dist: 2.02
20 ~> 79 | dist: 1.86
20 ~> 80 | dist: 2.59
20 ~> 81 | dist: 2.46
20 ~> 82 | dist: 2.95
20 ~> 83 | dist: 1.59
20 ~> 84 | dist: 2.32
20 ~> 85 | dist: 2.47
20 ~> 86 | dist: 1.81
20 ~> 87 | dist: 1.98
20 ~> 88 | dist: 1.95
20 ~> 89 | dist: 2.11
20 ~> 90 | dist: 2.58
20 ~> 91 | dist: 2.25
20 ~> 92 | dist: 2.35
20 ~> 93 | dist: 2.20
20 ~> 94 | dist: 2.40
20 ~> 95 | dist: 2.56
20 ~> 96 | dist: 2.40
20 ~> 97 | dist: 1.64
