--- Arvore geradora minima de 1---
1 ~> 1 | dist: 0.00
1 ~> 2 | dist: 2.23
1 ~> 3 | dist: 2.33
1 ~> 4 | dist: 1.89
1 ~> 5 | dist: 1.89
1 ~> 6 | dist: 1.67
1 ~> 7 | dist: 2.82
1 ~> 8 | dist: 2.78
1 ~> 9 | dist: 1.63
1 ~> 10 | dist: 1.48
1 ~> 11 | dist: 1.15
1 ~> 12 | dist: 2.31
1 ~> 13 | dist: 2.28
1 ~> 14 | dist: 2.40
1 ~> 15 | dist: 1.87
1 ~> 16 | dist: 1.39
1 ~> 17 | dist: 2.09
1 ~> 18 | dist: 3.01
1 ~> 19 | dist: 2.95
1 ~> 20 | dist: 2.21
1 ~> 21 | dist: 1.81
1 ~> 22 | dist: 1.52
1 ~> 23 | dist: 2.32
1 ~> 24 | dist: 2.80
1 ~> 25 | dist: 3.13
1 ~> 26 | dist: 2.47
1 ~> 27 | dist: 2.40
1 ~> 28 | dist: 2.83
1 ~> 29 | dist: 1.69
1 ~> 30 | dist: 2.18
1 ~> 31 | dist: 2.48
1 ~> 32 | dist: 1.57
1 ~> 33 | dist: 2.47
1 ~> 34 | dist: 2.92
1 ~> 35 | dist: 2.93
1 ~> 36 | dist: 2.11
1 ~> 37 | dist: 1.46
1 ~> 38 | dist: 2.39
1 ~> 39 | dist: 2.64
1 ~> 40 | dist: 2.51
1 ~> 41 | dist: 2.46
1 ~> 42 | dist: 1.21
1 ~> 43 | dist: 2.00
1 ~> 44 | dist: 1.54
1 ~> 45 | dist: 2.32
1 ~> 46 | dist: 3.02
1 ~> 47 | dist: 2.31
1 ~> 48 | dist: 1.43
1 ~> 49 | dist: 2.08
1 ~> 50 | dist: 2.40
1 ~> 51 | dist: 2.14
1 ~> 52 | dist: 2.00
1 ~> 53 | dist: 2.45
1 ~> 54 | dist: 2.54
1 ~> 55 | dist: 3.03
1 ~> 56 | dist: 2.09
1 ~> 57 | dist: 1.90
1 ~> 58 | dist: 2.75
1 ~> 59 | dist: 1.49
1 ~> 60 | dist: 2.23
1 ~> 61 | dist: 2.73
1 ~> 62 | dist: 2.43
1 ~> 63 | dist: 2.57
1 ~> 64 | dist: 2.54
1 ~> 65 | dist: 2.13
1 ~> 66 | dist: 1.91
1 ~> 67 | dist: 2.45
1 ~> 68 | dist: 2.83
1 ~> 69 | dist: 2.44
1 ~> 70 | dist: 2.23
1 ~> 71 | dist: 2.21
1 ~> 72 | dist: 2.12
1 ~> 73 | dist: 2.08
1 ~> 74 | dist: 2.02
1 ~> 75 | dist: 2.00
1 ~> 76 | dist: 1.71
1 ~> 77 | dist: 3.11
1 ~> 78 | dist: 2.87
1 ~> 79 | dist: 2.12
1 ~> 80 | dist: 2.54
1 ~> 81 | dist: 3.02
1 ~> 82 | dist: 3.22
1 ~> 83 | dist: 2.18
1 ~> 84 | dist: 2.36
1 ~> 85 | dist: 2.77
1 ~> 86 | dist: 1.77
1 ~> 87 | dist: 1.95
1 ~> 88 | dist: 3.52
1 ~> 89 | dist: 2.42
1 ~> 90 | dist: 2.74
1 ~> 91 | dist: 2.38
1 ~> 92 | dist: 2.55
1 ~> 93 | dist: 2.47
1 ~> 94 | dist: 2.58
1 ~> 95 | dist: 2.91
1 ~> 96 | dist: 2.11
1 ~> 97 | dist: 2.10
1 ~> 98 | dist: 2.75
1 ~> 99 | dist: 3.04
1 ~> 100 | dist: 3.25
1 ~> 101 | dist: 2.00
1 ~> 102 | dist: 1.82
1 ~> 103 | dist: 2.45
1 ~> 104 | dist: 2.05
1 ~> 105 | dist: 2.00
1 ~> 106 | dist: 1.24
1 ~> 107 | dist: 1.74
1 ~> 108 | dist: 2.15
1 ~> 109 | dist: 2.30
1 ~> 110 | dist: 2.43
1 ~> 111 | dist: 2.39
1 ~> 112 | dist: 1.66
1 ~> 113 | dist: 2.28
1 ~> 114 | dist: 2.37
1 ~> 115 | dist: 1.28
1 ~> 116 | dist: 2.56
1 ~> 117 | dist: 1.35
1 ~> 118 | dist: 2.35
1 ~> 119 | dist: 2.03
1 ~> 120 | dist: 1.59
1 ~> 121 | dist: 2.15
1 ~> 122 | dist: 2.26
1 ~> 123 | dist: 2.56
1 ~> 124 | dist: 2.68
1 ~> 125 | dist: 1.99
1 ~> 126 | dist: 2.29
1 ~> 127 | dist: 2.28
1 ~> 128 | dist: 2.50
1 ~> 129 | dist: 3.16
1 ~> 130 | dist: 2.08
1 ~> 131 | dist: 2.37
1 ~> 132 | dist: 2.36
1 ~> 133 | dist: 1.47
1 ~> 134 | dist: 2.20
1 ~> 135 | dist: 2.46
1 ~> 136 | dist: 2.16
1 ~> 137 | dist: 2.00
1 ~> 138 | dist: 3.30
1 ~> 139 | dist: 2.05
1 ~> 140 | dist: 2.74
1 ~> 141 | dist: 2.49
1 ~> 142 | dist: 2.09
1 ~> 143 | dist: 2.41
1 ~> 144 | dist: 2.44
1 ~> 145 | dist: 2.51
1 ~> 146 | dist: 3.00
1 ~> 147 | dist: 2.06
1 ~> 148 | dist: 2.15
1 ~> 149 | dist: 2.68
1 ~> 150 | dist: 2.01
1 ~> 151 | dist: 3.01
1 ~> 152 | dist: 1.95
1 ~> 153 | dist: 2.24
1 ~> 154 | dist: 2.29
1 ~> 155 | dist: 2.76
1 ~> 156 | dist: 2.36
1 ~> 157 | dist: 2.09
1 ~> 158 | dist: 2.71
1 ~> 159 | dist: 2.82
1 ~> 160 | dist: 2.38
1 ~> 161 | dist: 2.48
1 ~> 162 | dist: 2.56
1 ~> 163 | dist: 2.09
1 ~> 164 | dist: 2.44
1 ~> 165 | dist: 2.59
1 ~> 166 | dist: 2.07
1 ~> 167 | dist: 2.13
1 ~> 168 | dist: 1.11
1 ~> 169 | dist: 3.20
1 ~> 170 | dist: 2.10
1 ~> 171 | dist: 2.72
1 ~> 172 | dist: 2.27
1 ~> 173 | dist: 2.96
1 ~> 174 | dist: 2.37
1 ~> 175 | dist: 1.76
1 ~> 176 | dist: 3.10
1 ~> 177 | dist: 2.63
1 ~> 178 | dist: 2.26
1 ~> 179 | dist: 2.14
1 ~> 180 | dist: 2.76
1 ~> 181 | dist: 3.13
1 ~> 182 | dist: 2.16
1 ~> 183 | dist: 2.56
1 ~> 184 | dist: 2.36
1 ~> 185 | dist: 2.51
1 ~> 186 | dist: 1.76
1 ~> 187 | dist: 2.24
1 ~> 188 | dist: 1.91
1 ~> 189 | dist: 2.41
1 ~> 190 | dist: 2.54
1 ~> 191 | dist: 2.62
1 ~> 192 | dist: 2.80
1 ~> 193 | dist: 1.85
1 ~> 194 | dist: 2.60
1 ~> 195 | dist: 1.05
1 ~> 196 | dist: 1.93
1 ~> 197 | dist: 2.46
1 ~> 198 | dist: 2.66
1 ~> 199 | dist: 3.20
1 ~> 200 | dist: 2.09
1 ~> 201 | dist: 2.47
1 ~> 202 | dist: 1.94
1 ~> 203 | dist: 2.43
1 ~> 204 | dist: 1.91
1 ~> 205 | dist: 2.31
1 ~> 206 | dist: 3.17
1 ~> 207 | dist: 2.52
1 ~> 208 | dist: 2.24
1 ~> 209 | dist: 1.87
1 ~> 210 | dist: 2.21
1 ~> 211 | dist: 2.08
1 ~> 212 | dist: 1.74
1 ~> 213 | dist: 2.57
1 ~> 214 | dist: 2.02
1 ~> 215 | dist: 2.52
1 ~> 216 | dist: 2.96
1 ~> 217 | dist: 2.34
1 ~> 218 | dist: 2.44
1 ~> 219 | dist: 1.57
1 ~> 220 | dist: 2.97
1 ~> 221 | dist: 2.60
1 ~> 222 | dist: 1.89
1 ~> 223 | dist: 2.32
1 ~> 224 | dist: 2.91
1 ~> 225 | dist: 2.11
1 ~> 226 | dist: 2.03
1 ~> 227 | dist: 3.09
1 ~> 228 | dist: 1.88
1 ~> 229 | dist: 2.25
1 ~> 230 | dist: 2.09
1 ~> 231 | dist: 2.41
1 ~> 232 | dist: 2.14
1 ~> 233 | dist: 2.58
1 ~> 234 | dist: 2.04
1 ~> 235 | dist: 2.95
1 ~> 236 | dist: 2.05
1 ~> 237 | dist: 1.81
1 ~> 238 | dist: 2.43
1 ~> 239 | dist: 1.48
1 ~> 240 | dist: 2.09
1 ~> 241 | dist: 1.91
1 ~> 242 | dist: 2.39
1 ~> 243 | dist: 2.09
1 ~> 244 | dist: 2.90
1 ~> 245 | dist: 2.10
1 ~> 246 | dist: 2.32
1 ~> 247 | dist: 2.50
1 ~> 248 | dist: 2.08
1 ~> 249 | dist: 2.55
1 ~> 250 | dist: 2.41
1 ~> 251 | dist: 3.01
1 ~> 252 | dist: 2.27
1 ~> 253 | dist: 2.97
1 ~> 254 | dist: 2.28
1 ~> 255 | dist: 2.04
1 ~> 256 | dist: 2.21
1 ~> 257 | dist: 2.35
1 ~> 258 | dist: 2.22
1 ~> 259 | dist: 2.15
1 ~> 260 | dist: 1.76
1 ~> 261 | dist: 2.21
1 ~> 262 | dist: 2.35
1 ~> 263 | dist: 2.00
1 ~> 264 | dist: 2.54
1 ~> 265 | dist: 1.82
1 ~> 266 | dist: 1.95
1 ~> 267 | dist: 1.99
1 ~> 268 | dist: 3.25
1 ~> 269 | dist: 2.91
1 ~> 270 | dist: 2.41
1 ~> 271 | dist: 2.29
1 ~> 272 | dist: 2.71
1 ~> 273 | dist: 2.85
1 ~> 274 | dist: 2.57
1 ~> 275 | dist: 2.29
1 ~> 276 | dist: 1.80
1 ~> 277 | dist: 3.33
1 ~> 278 | dist: 2.69
1 ~> 279 | dist: 2.38
1 ~> 280 | dist: 1.90
1 ~> 281 | dist: 2.19
1 ~> 282 | dist: 1.78
1 ~> 283 | dist: 2.83
1 ~> 284 | dist: 2.59
1 ~> 285 | dist: 2.36
1 ~> 286 | dist: 1.90
1 ~> 287 | dist: 2.15
1 ~> 288 | dist: 2.73
1 ~> 289 | dist: 2.87
1 ~> 290 | dist: 2.42
1 ~> 291 | dist: 2.61
1 ~> 292 | dist: 2.92
1 ~> 293 | dist: 2.27
1 ~> 294 | dist: 2.46
1 ~> 295 | dist: 2.63
1 ~> 296 | dist: 1.94
1 ~> 297 | dist: 2.86
1 ~> 298 | dist: 2.59
1 ~> 299 | dist: 2.49
1 ~> 300 | dist: 2.45
1 ~> 301 | dist: 2.34
1 ~> 302 | dist: 2.23
1 ~> 303 | dist: 2.68
1 ~> 304 | dist: 2.10
1 ~> 305 | dist: 1.98
1 ~> 306 | dist: 1.59
1 ~> 307 | dist: 2.75
1 ~> 308 | dist: 2.44
1 ~> 309 | dist: 0.99
1 ~> 310 | dist: 2.71
1 ~> 311 | dist: 2.32
1 ~> 312 | dist: 2.67
1 ~> 313 | dist: 1.89
1 ~> 314 | dist: 1.99
1 ~> 315 | dist: 2.09
1 ~> 316 | dist: 2.49
1 ~> 317 | dist: 2.59
1 ~> 318 | dist: 1.93
1 ~> 319 | dist: 2.24
1 ~> 320 | dist: 1.84
1 ~> 321 | dist: 2.84
1 ~> 322 | dist: 2.30
1 ~> 323 | dist: 2.40
1 ~> 324 | dist: 2.41
1 ~> 325 | dist: 1.55
1 ~> 326 | dist: 2.63
1 ~> 327 | dist: 3.32
1 ~> 328 | dist: 2.20
1 ~> 329 | dist: 1.60
1 ~> 330 | dist: 2.03
1 ~> 331 | dist: 2.36
1 ~> 332 | dist: 2.26
1 ~> 333 | dist: 2.81
1 ~> 334 | dist: 2.27
1 ~> 335 | dist: 1.92
1 ~> 336 | dist: 2.97
1 ~> 337 | dist: 2.74
1 ~> 338 | dist: 2.26
1 ~> 339 | dist: 1.99
1 ~> 340 | dist: 2.07
1 ~> 341 | dist: 1.61
1 ~> 342 | dist: 2.20
1 ~> 343 | dist: 3.08
1 ~> 344 | dist: 3.15
1 ~> 345 | dist: 2.44
1 ~> 346 | dist: 2.32
1 ~> 347 | dist: 1.54
1 ~> 348 | dist: 1.91
1 ~> 349 | dist: 2.78
1 ~> 350 | dist: 2.40
1 ~> 351 | dist: 1.66
1 ~> 352 | dist: 2.99
1 ~> 353 | dist: 2.11
1 ~> 354 | dist: 2.16
1 ~> 355 | dist: 2.00
1 ~> 356 | dist: 2.33
1 ~> 357 | dist: 2.46
1 ~> 358 | dist: 1.99
1 ~> 359 | dist: 1.93
1 ~> 360 | dist: 1.60
1 ~> 361 | dist: 2.04
1 ~> 362 | dist: 2.13
1 ~> 363 | dist: 2.25
1 ~> 364 | dist: 3.09
1 ~> 365 | dist: 2.20
1 ~> 366 | dist: 2.18
1 ~> 367 | dist: 2.42
1 ~> 368 | dist: 2.90
1 ~> 369 | dist: 2.70
1 ~> 370 | dist: 2.73
1 ~> 371 | dist: 2.72
1 ~> 372 | dist: 2.33
1 ~> 373 | dist: 2.44
1 ~> 374 | dist: 1.65
1 ~> 375 | dist: 2.42
1 ~> 376 | dist: 3.21
1 ~> 377 | dist: 2.27
1 ~> 378 | dist: 2.32
1 ~> 379 | dist: 2.56
1 ~> 380 | dist: 2.49
1 ~> 381 | dist: 1.67
1 ~> 382 | dist: 2.53
1 ~> 383 | dist: 2.50
1 ~> 384 | dist: 2.79
1 ~> 385 | dist: 2.24
1 ~> 386 | dist: 2.48
1 ~> 387 | dist: 2.37
1 ~> 388 | dist: 2.67
1 ~> 389 | dist: 3.69
1 ~> 390 | dist: 2.42
1 ~> 391 | dist: 1.58
1 ~> 392 | dist: 2.02
1 ~> 393 | dist: 1.92
1 ~> 394 | dist: 2.66
1 ~> 395 | dist: 1.93
1 ~> 396 | dist: 2.43
1 ~> 397 | dist: 2.33
1 ~> 398 | dist: 2.33
1 ~> 399 | dist: 2.79
1 ~> 400 | dist: 2.28
